시도명,시군구명,소재지주소,소재지지번주소,카메라대수,설치장소,단속구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
서울특별시,마포구,독막로 301,,7,참앤참 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,토정로 221,,10,한국출판콘텐츠센터 주변,불법 주정차,2012,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,광성로28,,20,벽산E솔렌스힐 상가 주변,방범,2011,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,서강대길 3,,19,하이마트 주변,불법 주정차,2015,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,창전로88,,7,하나님의 교회 주변,불법 주정차,2011,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,백범로38,,5,서강대정문 주변,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로234,,10,마포세무서 주변,불법 주정차,2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로30길 36,,12,와우공원 주변,불법 주정차,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로121,,16,삼진제약 주변,불법 주정차,2008,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로143,,15,한국영화아카데미 주변,불법 주정차,2008,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로82,,7,서교동 커피스미스 주변,불법 주정차,2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로 72,,4,삼거리포차 주변,불법 주정차,2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,홍익로 13,,19,서교푸르지오 주변,방범,2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로 48,,11,로하스타워 주변,불법 주정차,2015,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로 97,,1,홍익대 정문 주변,방범(그린파킹),2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,잔다리로24,,2,수노래연습장 주변,불법 주정차,2013,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로18안길 21,,4,윗잔다리 어린이공원 주변,불법 주정차,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로35길 53,,10,애경타운 주변,방범,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,잔다리로71,,4,한국고려인삼 주변,불법 주정차,2013,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로 31,,18,아만티호텔 주변,방범,2012,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로7길 3,,14,합정역2번출구 주변,불법 주정차,2016,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로7길 24,,20,메세나폴리스뒤편,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,동교로126,,10,서교가든 주변,불법 주정차,2008,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로19,,5,홀트아동복지회 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,희우정로14,,7,한국프라우드아파트 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로1길 14,,1,마포한강푸르지오1차 주변,불법 주정차,2016,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로1길 11,,17,마포한강푸르지오1차 뒤편,불법 주정차,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,동교로 24,,16,망원정 사거리,방범(그린파킹),2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로 45,,9,메세나폴리스 주변,불법 주정차,2015,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로20나길 22,,15,밤섬래미안리베뉴 주변,불법 주정차,2017,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,와우산로40,,7,상수역 사거리,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,서강로9길36,,5,태영아파트 주변,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,동교로198,,19,대양빌딩 주변,불법 주정차,2013,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,연희로 21,,1,동광빌딩 주변,불법 주정차,2014,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로133,,2,홍대입구사거리,방범(경찰설치),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로74,,3,망원역 주변,방범(경찰설치),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,토정로56,,9,(구)당인리발전소 주변,방범(경찰설치),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로13,,13,성지빌딩 주변,방범(경찰설치),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,망원로 87,,16,진평925 주변,방범(경찰설치),2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,망원로 29,,11,망원교회 주변,방범(경찰설치),2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,포은로 117,,5,반도빌딩사거리,방범(경찰설치),2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,연남로10,,15,연남파출소 주변,방범(경찰설치),2017,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,연남로 92,,5,한양삼계탕 주변,방범(경찰설치),2014,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,연남로80,,18,쌍마빌라 나동 주변 ,불법 주정차,2014,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,연남로 30,,5,코오롱아파트 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,동교로 235-1,,10,연남동 세븐일레븐 주변,불법 주정차,2004,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,성미산로 111,,15,경성중고 주변,불법 주정차,2004,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,성미산로 92,,7,현일오피스텔주변,불법 주정차,2004,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,성미산로38,,19,성서교회 주변,불법 주정차,2008,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로 99,,8,성미산약수터 주변,불법 주정차,2015,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로136,,9,신안건설산업 주변,방범(어린이 보호구역),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로32길 19,,18,보양산업 주변,방범(어린이 보호구역),2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로 196 ,,8,마포구청1번출구 주변,방범(어린이 보호구역),2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,모래내로 5,,11,우남퍼스트빌 주변,방범(어린이 보호구역),2017,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,모래내로3길2,,19,동성아파트 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로 212,,13,마포구청 주변,불법 주정차,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,모래내로9길 30,,12,건영월드컵APT주변,방범(치수과),2017,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로36길34,,20,성원초등학교 주변,방범(치수과),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로38길26,,17,신북초등학교 주변,방범(치수과),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로230,,8,신북초교 현대상가 주변,불법 주정차,2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,매봉산로 76,,12,상암파출소 주변,불법 주정차,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로 400,,2,MBC후문 주변,불법 주정차,2017,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로 400,,17,JTBC방송국 주변,불법 주정차,2015,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로396,,16,디지털미디어시티사거리,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로416,,3,LG유플러스 상암사옥 주변,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로434,,12,상암IT타워 주변,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로 54길 17,,15,사보이시티 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로 502,,15,하늘초등학교 주변,불법 주정차,2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로42길13,,4,서부면허시험장 주변,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로 332,,13,서동한우 주변,불법 주정차,2016,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,대흥로20길 28,,5,마포자이A3차주변,불법 주정차,2019,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,백범로17길 38,,8,용강초등학교 후문 주변,불법 주정차,2019,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로18길 3,,1,홍대입구역 8번출구 주변,불법 주정차,2019,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로 210,,7,성원아파트 주변,불법 주정차,2019,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로11길 84,,5,마포현대아파트 상가 주변,불법 주정차,2019,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,대흥로 104,,1,세헌오피스텔 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,신촌로 182,,5,신촌그랑자이 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로 72,,13,효성해링턴타워(서교빌딩 쪽) 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로 72,,1,효성해링턴타워(한동빌딩 쪽) 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,어울마당로 65 ,,16,홍대 상상마당 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,백범로  220,,9,이마트 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로24길 29,,12,애오개 도담어린이공원  주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,큰우물로 26,,6,래미안용강아파트 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,백범로26길8 ,,16,공덕파크자이 2차 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로 291-5,,1,트레노베빌딩  주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,창전로 28,,2,서강GS아파트정문 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로22길 27,,15,미주공인중개사 삼거리,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵로34길 13,,4,상암월드시티오피스텔  사거리,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,월드컵북로62길 11,,7,서울일본인학교 삼거리,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,동교로1길 96,,18,망원나들목 공영주차장  A동 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,희우정로13길 29,,2,망원나들목 공영주차장  B동 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,도화2안길 5,,13,마포초로 가는 도화2길,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로42길 7,,9,염리세양청마루아파트 주변,불법 주정차,2020,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로 67,,19,다이와호텔 삼거리 주변,불법 주정차,2021,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,도화4길 62,,6,삼성그린유치원 정문 주변,불법 주정차,2021,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,양화로3길 94,,6,성산초등학교 후문 주변,불법 주정차,2021,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,방울내로5길 28,,11,망원초등학교 정문 주변,불법 주정차,2021,서울특별시 마포구,02-3153-9655,44426
